event_id,compound,n_laps,observed_slope,predicted_slope
2022_11_R,HARD,14,0.08085520653094003,0.05920952185988426
2022_11_R,HARD,17,0.029772178234126215,0.05920952185988426
2022_11_R,HARD,9,0.10499928140270123,0.05920952185988426
2022_11_R,HARD,10,0.10153977067533602,0.05920952185988426
2022_11_R,HARD,19,0.08000413056327012,0.05920952185988426
2022_11_R,HARD,9,0.13127807002658506,0.05920952185988426
2022_11_R,HARD,14,0.11895116705387036,0.05920952185988426
2022_11_R,HARD,9,0.09051766634288108,0.05920952185988426
2022_11_R,HARD,9,0.07812470657276784,0.05920952185988426
2022_11_R,HARD,4,0.07371856955180124,0.05920952185988426
2022_11_R,HARD,18,0.05823232276739469,0.05920952185988426
2022_11_R,HARD,16,0.1111589334027381,0.05920952185988426
2022_11_R,HARD,14,0.0586658315555726,0.05920952185988426
2022_11_R,HARD,15,0.08556432119386413,0.05920952185988426
2022_11_R,HARD,8,0.08270109546166025,0.05920952185988426
2022_11_R,HARD,12,0.04577992035985336,0.05920952185988426
2022_11_R,HARD,17,0.13090306925781117,0.05920952185988426
2022_11_R,HARD,18,0.08827220585815428,0.05920952185988426
2022_11_R,HARD,7,0.14482827082979594,0.05920952185988426
2022_11_R,MEDIUM,9,0.08429553990610326,0.08391055464744568
2022_11_R,MEDIUM,10,0.051526278748726145,0.08391055464744568
2022_11_R,MEDIUM,11,0.050324327784891765,0.08391055464744568
2022_11_R,MEDIUM,11,0.1771334186939787,0.08391055464744568
2022_11_R,MEDIUM,6,0.02670744466801122,0.08391055464744568
2022_11_R,MEDIUM,4,0.12737887323944178,0.08391055464744568
2022_11_R,MEDIUM,8,0.07316934942991554,0.08391055464744568
2022_11_R,MEDIUM,17,0.06985310459992984,0.08391055464744568
2022_11_R,MEDIUM,15,0.050163564250672185,0.08391055464744568
2022_11_R,MEDIUM,17,0.053756757854821896,0.08391055464744568
2022_11_R,MEDIUM,6,0.08454444700992676,0.08391055464744568
2022_11_R,MEDIUM,11,0.19276069142125551,0.08391055464744568
2022_11_R,MEDIUM,13,0.08201836903775483,0.08391055464744568
2022_12_R,MEDIUM,7,0.1275359956035879,0.055568620562553406
2022_12_R,MEDIUM,10,0.06834899942824497,0.055568620562553406
2022_12_R,MEDIUM,11,0.07270046935135831,0.055568620562553406
2022_12_R,MEDIUM,6,0.021800062545605268,0.055568620562553406
2022_12_R,MEDIUM,14,0.08171030478954651,0.055568620562553406
2022_12_R,MEDIUM,16,0.09476268035515947,0.055568620562553406
2022_12_R,MEDIUM,12,0.06657533975458457,0.055568620562553406
2022_12_R,MEDIUM,10,0.06186415094339803,0.055568620562553406
2022_12_R,MEDIUM,8,0.06641891284815199,0.055568620562553406
2022_12_R,MEDIUM,4,0.07117251747725968,0.055568620562553406
2022_12_R,MEDIUM,6,0.06147083787348275,0.055568620562553406
2022_12_R,MEDIUM,9,0.23003081761006225,0.055568620562553406
2022_12_R,HARD,18,0.040376395275750904,0.050537485629320145
2022_12_R,HARD,27,0.026018596101923818,0.050537485629320145
2022_12_R,HARD,12,0.06928984264300121,0.050537485629320145
2022_12_R,HARD,26,0.07805338904790064,0.050537485629320145
2022_12_R,HARD,8,0.22724034141959065,0.050537485629320145
2022_12_R,HARD,7,0.2389784366576801,0.050537485629320145
2022_12_R,HARD,27,0.04980463937527249,0.050537485629320145
2022_12_R,HARD,16,0.052989278566766065,0.050537485629320145
2022_12_R,HARD,6,-0.019892475562629117,0.050537485629320145
2022_12_R,HARD,11,0.048486550943398266,0.050537485629320145
2022_12_R,HARD,11,0.036045584550917324,0.050537485629320145
2022_12_R,HARD,11,0.03535343665768244,0.050537485629320145
2022_12_R,HARD,13,0.028210325621799537,0.050537485629320145
2022_12_R,HARD,4,0.2814641509433956,0.050537485629320145
2022_12_R,HARD,27,0.07207396976700921,0.050537485629320145
2022_12_R,HARD,5,-0.024435849056607766,0.050537485629320145
2022_12_R,HARD,5,0.09286415094339093,0.050537485629320145
2022_12_R,HARD,18,0.08907693386346671,0.050537485629320145
2022_14_R,HARD,12,0.20942145015105687,0.07055489718914032
2022_14_R,HARD,13,0.08110439560439753,0.07055489718914032
2022_14_R,HARD,9,0.2715797297297269,0.07055489718914032
2022_14_R,HARD,11,0.16687776141383912,0.07055489718914032
2022_14_R,HARD,14,0.21943736263736427,0.07055489718914032
2022_14_R,HARD,13,0.19732843472316633,0.07055489718914032
2022_14_R,HARD,11,0.1160352595494639,0.07055489718914032
2022_14_R,HARD,15,0.20156071428571343,0.07055489718914032
2022_14_R,HARD,5,-0.009337837837843033,0.07055489718914032
2022_14_R,HARD,12,0.21840056285177914,0.07055489718914032
2022_14_R,HARD,17,0.08875490196078242,0.07055489718914032
2022_14_R,HARD,4,0.2405000000000003,0.07055489718914032
2022_14_R,HARD,13,0.09263628715647641,0.07055489718914032
2022_14_R,MEDIUM,15,0.09639642857143131,0.10184527188539505
2022_14_R,MEDIUM,8,0.11509523809523778,0.10184527188539505
2022_14_R,MEDIUM,10,0.08350303030303233,0.10184527188539505
2022_14_R,MEDIUM,13,0.13189597957881496,0.10184527188539505
2022_14_R,MEDIUM,13,0.11577486910995084,0.10184527188539505
2022_14_R,MEDIUM,9,0.10321666666666934,0.10184527188539505
2022_14_R,MEDIUM,9,0.21814838709677808,0.10184527188539505
2022_14_R,MEDIUM,8,0.2762197496522992,0.10184527188539505
2022_14_R,MEDIUM,5,0.27344186046511754,0.10184527188539505
2022_14_R,MEDIUM,12,0.12136013986013718,0.10184527188539505
2022_14_R,MEDIUM,11,0.22250771388499252,0.10184527188539505
2022_14_R,MEDIUM,7,0.05421359223300665,0.10184527188539505
2022_14_R,MEDIUM,12,0.20260677783754302,0.10184527188539505
2022_14_R,MEDIUM,13,0.2872747252747279,0.10184527188539505
2022_14_R,MEDIUM,5,0.15244594594594668,0.10184527188539505
2022_14_R,SOFT,17,0.10237250866551198,0.09781495481729507
2022_14_R,SOFT,5,0.15200000000000502,0.09781495481729507
2022_14_R,SOFT,6,0.6568571428571458,0.09781495481729507
2022_15_R,MEDIUM,7,0.049547619047618105,0.017589665949344635
2022_15_R,MEDIUM,18,0.025322807017543924,0.017589665949344635
2022_15_R,MEDIUM,8,0.046899522957663774,0.017589665949344635
2022_15_R,MEDIUM,8,0.061333333333332254,0.017589665949344635
2022_15_R,MEDIUM,15,0.029876190476189998,0.017589665949344635
2022_15_R,MEDIUM,7,0.06921282051281863,0.017589665949344635
2022_15_R,MEDIUM,10,0.06744871794871075,0.017589665949344635
2022_15_R,MEDIUM,23,0.05445942119077006,0.017589665949344635
2022_15_R,MEDIUM,4,0.139415273132665,0.017589665949344635
2022_15_R,MEDIUM,9,0.08250476190476332,0.017589665949344635
2022_15_R,MEDIUM,5,0.08713333333334236,0.017589665949344635
2022_15_R,MEDIUM,13,0.08898770433546242,0.017589665949344635
2022_15_R,MEDIUM,10,0.07863053613053923,0.017589665949344635
2022_15_R,MEDIUM,18,0.07155401523666934,0.017589665949344635
2022_15_R,MEDIUM,16,0.03845006747638289,0.017589665949344635
2022_15_R,MEDIUM,24,0.05266856871136334,0.017589665949344635
2022_15_R,MEDIUM,16,0.042279155435759566,0.017589665949344635
2022_15_R,MEDIUM,27,0.05208119658119475,0.017589665949344635
2022_15_R,MEDIUM,21,0.04082361721977846,0.017589665949344635
2022_15_R,MEDIUM,18,0.028463162339033385,0.017589665949344635
2022_15_R,MEDIUM,4,0.17403333333333545,0.017589665949344635
2022_15_R,HARD,4,0.028214628297358667,0.015818249434232712
2022_15_R,HARD,12,0.04616335592594046,0.015818249434232712
2022_15_R,HARD,13,0.04101244789906729,0.015818249434232712
2022_15_R,HARD,10,0.007868405670026685,0.015818249434232712
2022_15_R,HARD,13,0.03221905233069347,0.015818249434232712
